outcome,glider
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Tesla
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Tesla
1,Tesla
1,Tesla
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
0,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
0,Frankie
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
0,Jane
1,Jane
1,Jane
1,Jane
1,Jane
0,Jane
0,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
1,Ros
1,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
0,Ros
1,Tesla
1,Tesla
1,Tesla
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Jane
0,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
0,Ros
1,Ros
0,Ros
0,Ros
0,Ros
1,Ros
0,Ros
1,Ros
1,Frankie
0,Frankie
1,Frankie
0,Frankie
1,Frankie
1,Frankie
1,Frankie
0,Frankie
0,Frankie
